ID,Topic,Difficulty,Prompt,Opt0,Opt1,Opt2,Opt3,Fb0,Fb1,Fb2,Fb3,CorrectIdx
B01,KNOW_ELECTRIZATION,1,Qual a principal diferença entre a armadura metálica (condutor) e a de cerâmica (isolante)?,A cerâmica permite o livre movimento de cargas.,O metal permite que as cargas se movam com facilidade através dele.,Ambos bloqueiam cargas igualmente.,O metal destrói elétrons soltos.,Incorreto. A cerâmica restringe o movimento.,"Correto! Nos condutores, há elétrons livres que viajam facilmente pelo material.",Incorreto. Eles têm propriedades elétricas opostas.,"Incorreto. Elétrons não são destruídos no metal, apenas guiados.",1
B02,KNOW_ELECTRIZATION,1,"Ao enfrentar inimigos na Trilha dos Isolantes, por que é seguro tocar na madeira seca?",Porque nela os elétrons livres são abundantes.,Porque ela repele qualquer tipo de carga.,Porque materiais isolantes dificultam a transferência de cargas para o seu corpo.,Porque ela absorve a carga e a transforma em calor instantaneamente.,Incorreto. Madeira seca tem pouquíssimos elétrons livres.,"Incorreto. Ela não repele, apenas não conduz bem.","Correto! Isolantes impedem o escoamento rápido de cargas elétricas, protegendo contra choques.",Incorreto. A proteção se dá pela falta de mobilidade das cargas.,2
B03,KNOW_ELECTRIZATION,2,Élia mencionou que é possível alterar a distribuição de cargas de um condutor sem encostar nele. Como isso se chama?,Fricção.,Indução.,Aterramento.,Neutralização.,Incorreto. Fricção exige contato físico e atrito.,Correto! A aproximação de um corpo carregado redistribui os elétrons do condutor por indução.,Incorreto. Aterramento envolve ligar o corpo à terra com um fio.,"Incorreto. Neutralização envolve balancear cargas, geralmente com contato.",1
B04,KNOW_ELECTRIZATION,2,"Quando uma carga positiva se aproxima de um bloco metálico neutro sem tocá-lo, o que os elétrons livres do bloco fazem?",Ficam imóveis.,São repelidos para o lado oposto.,São atraídos e se acumulam no lado mais próximo da carga externa.,Saltam para fora do bloco.,"Incorreto. No metal, os elétrons livres reagem à força elétrica.",Incorreto. Eles seriam repelidos se a carga externa fosse negativa.,"Correto! Cargas opostas se atraem, então os elétrons (-) migram para o lado da carga (+).",Incorreto. O ar é um isolante que impede o salto sem uma tensão massiva.,2
B05,KNOW_ELECTRIZATION,2,O que acontece se o herói ligar um fio condutor de um inimigo carregado negativamente diretamente ao solo (aterramento)?,O solo explode.,"A carga negativa do inimigo escoa para a Terra, neutralizando-o.",O inimigo ganha mais carga negativa.,A Terra transfere carga positiva para o inimigo.,Incorreto. A Terra é um dissipador infinito inofensivo para essas cargas.,"Correto! A Terra age como um grande condutor, absorvendo o excesso de elétrons.",Incorreto. O excesso de elétrons sempre buscará escoar para a Terra.,Incorreto. O movimento em sólidos se dá pelos elétrons (negativos) descendo.,1
B06,KNOW_ELECTRIZATION,3,Um pedaço de papel neutro e isolante é atraído pelo bastão negativo do herói. Como isso é possível?,O papel é secretamente um condutor.,"Ocorre polarização das moléculas no papel, com o lado positivo virando para o bastão.",O bastão magnetiza o papel.,A gravidade aumenta entre eles.,Incorreto. O papel continua sendo isolante.,"Correto! As cargas nas moléculas do isolante se rearranjam ligeiramente, gerando atração.","Incorreto. O fenômeno é elétrico, não magnético.",Incorreto. A gravidade é irrelevante nessa escala de atração.,1
B07,KNOW_ELECTRIZATION,1,"Para dar carga a uma haste de plástico, Mara a friccionou com pele. Esse processo é chamado de eletrização por...",Contato estático.,Indução magnética.,Atrito (fricção).,Condução térmica.,Incorreto. Envolveu atrito mecânico.,Incorreto. Não há magnetismo nem indução sem contato aqui.,Correto! A fricção transfere elétrons de um material para o outro.,"Incorreto. O processo é elétrico, não térmico.",2
B08,KNOW_ELECTRIZATION,2,"Se uma esfera metálica está isolada e é carregada por indução, a sua carga total resultante muda durante a mera aproximação do indutor?","Sim, ela dobra de valor.","Não, as cargas apenas se separam dentro da própria esfera.","Sim, ela perde carga instantaneamente.",A esfera se quebra.,Incorreto. A carga líquida não muda sem contato ou aterramento.,"Correto! Ocorrem polos induzidos, mas a soma algébrica das cargas da esfera continua a mesma (zero).",Incorreto. O isolante impede a fuga das cargas.,Incorreto. A força elétrica reorganiza as cargas sem destruir o objeto.,1
B09,KNOW_ELECTRIZATION,2,"Ao contrário dos metais, por que os materiais como a borracha são péssimos para construir armas de choque?",Eles anulam a eletricidade.,Não existem praticamente elétrons livres na borracha para transferir a carga.,Eles absorvem a carga no núcleo dos átomos.,Eles repelem elétrons no ar.,"Incorreto. Eles apenas impedem o fluxo, não o anulam.","Correto! Em um isolante ideal, as cargas estão fortemente ligadas aos átomos e não fluem.",Incorreto. A carga não é absorvida pelo núcleo.,Incorreto. Eles não possuem um campo repulsivo natural.,1
B10,KNOW_ELECTRIZATION,3,A carga por indução pode deixar um corpo permanentemente carregado se...,Afastarmos o indutor rapidamente.,Aterrarmos o corpo durante a indução e depois cortarmos o fio.,Aquecermos o corpo induzido.,Colocarmos o corpo na água.,"Incorreto. As cargas voltariam à posição original, voltando a ficar neutro.","Correto! O aterramento permite que cargas entrem ou saiam, cortar o fio aprisiona a nova carga líquida.",Incorreto. Aquecer não altera o balanço líquido de cargas assim.,"Incorreto. A água pode dissipar a carga, neutralizando-o.",1
C01,KNOW_COULOMB,1,Vetor explicou a Lei de Coulomb. O módulo da força elétrica é proporcional ao quê?,Ao quadrado das cargas.,Ao produto dos módulos das cargas elétricas.,À soma das massas.,Ao inverso das cargas.,"Incorreto. A força escala com a multiplicação linear de q1 e q2, não o quadrado delas.",Correto! A força cresce em proporção direta à multiplicação da carga 1 pela carga 2.,"Incorreto. Coulomb descreve forças elétricas, não atração gravitacional entre massas.","Incorreto. É diretamente proporcional, não inversamente.",1
C02,KNOW_COULOMB,2,"Se você se afastar de um inimigo, dobrando a distância entre vocês, a força elétrica do ataque dele...",Cairá pela metade.,Permanecerá igual.,Cairá para a quarta parte (1/4).,Ficará quatro vezes mais forte.,Incorreto. A dependência não é linear (não é 1/r).,Incorreto. A força diminui significativamente com a distância.,"Correto! Como a força é inversamente proporcional ao quadrado da distância (1/r²), o dobro da distância resulta em 1/4 da força.","Incorreto. Afastar-se enfraquece a força, não a aumenta.",2
C03,KNOW_COULOMB,2,"Se você se aproximar do Guardião da Ruptura cortando a distância pela metade, o impacto da força de repulsão será...",Metade da força original.,O dobro da força original.,Quatro vezes maior.,Nulo.,Incorreto. A força não diminui ao se aproximar.,"Incorreto. Se a distância cai pela metade, a força aumenta ao quadrado.",Correto! (1/0.5)² é igual a 4. A força quadruplica em curta distância!,Incorreto. A aproximação maximiza a interação.,2
C04,KNOW_COULOMB,2,"Durante um combate, o herói e o inimigo dobram a quantidade de suas próprias cargas ao mesmo tempo. A nova força entre eles será...",Dobrada.,Reduzida à metade.,A mesma.,Quatro vezes maior.,"Incorreto. Como ambas as cargas dobraram, o produto é 2x2 = 4.",Incorreto. Aumentar as cargas aumenta a força.,Incorreto. A força muda quando as cargas mudam.,Correto! O produto das novas cargas (2q1 * 2q2) resulta em 4 vezes a força original.,3
C05,KNOW_COULOMB,3,Qual grandeza física constante garante a proporcionalidade na Lei de Coulomb (no vácuo)?,Constante gravitacional (G).,A constante elétrica K (1 / 4*pi*e0).,Constante de Planck (h).,Velocidade da luz (c).,Incorreto. Esta é usada para atração de massas.,Correto! K (aprox. 9x10^9) é a constante que balanceia a equação de Coulomb.,Incorreto. Usada na mecânica quântica.,"Incorreto. Embora K esteja relacionada a c, a resposta exata é a constante elétrica.",1
C06,KNOW_COULOMB,2,Duas cargas estão alinhadas no Vale. A força que a Carga A exerce na Carga B tem intensidade F. Qual a intensidade da força de B em A?,É zero.,É metade de F.,É exatamente F.,É 2F.,Incorreto. A interação é mútua.,Incorreto. As forças formam um par de ação e reação com o mesmo módulo.,"Correto! Pela terceira lei de Newton, a força mútua tem sempre o mesmo módulo e sentidos opostos.","Incorreto. A força é simétrica, não duplicada para um dos lados.",2
C07,KNOW_COULOMB,3,"O princípio de superposição ensinado por Vetor dita que, se 3 inimigos atacam o herói ao mesmo tempo, a força total é...",A soma vetorial das forças exercidas por cada inimigo individualmente.,A força do inimigo mais forte apenas.,A média aritmética das três forças.,A soma das distâncias.,Correto! A força resultante sobre uma carga é a soma dos vetores das forças individuais.,Incorreto. Todos os inimigos contribuem para a força final.,"Incorreto. É uma soma vetorial pura, não uma média.","Incorreto. Forças são somadas, não as distâncias.",0
C08,KNOW_COULOMB,1,Para onde aponta a linha reta imaginária da força elétrica entre duas cargas puntiformes?,Perpendicular à visão do herói.,Ao longo da reta que une as duas cargas.,Sempre para o Norte magnético.,Sempre em direção ao chão.,Incorreto. A força elétrica atua diretamente entre os dois corpos.,Correto! A direção da força (atração ou repulsão) está sempre sobre o eixo que conecta as duas partículas.,Incorreto. A força eletrostática não é guiada pelos polos magnéticos.,Incorreto. Isso confunde força elétrica com força da gravidade.,1
C09,KNOW_COULOMB,2,A Lei de Coulomb assemelha-se matematicamente a que outra famosa lei da física?,Lei de Snell.,Lei da Gravitação Universal de Newton.,Leis da Termodinâmica.,Lei de Hooke.,Incorreto. Snell trata de refração da luz.,Correto! Ambas as leis dependem do inverso do quadrado da distância (1/r²).,Incorreto. Termodinâmica trata de calor e energia térmica.,Incorreto. Hooke trata da força restauradora de molas (linear).,1
C10,KNOW_COULOMB,3,"Se as cargas Q1 e Q2 possuírem o mesmo sinal, o valor da força na fórmula de Coulomb gerará um vetor apontando para onde em Q1?",Na direção de Q2.,Para o centro da Terra.,Para longe (sentido oposto) de Q2.,Para cima.,Incorreto. Isso seria atração (sinais opostos).,Incorreto. A direção é dada pela linha entre as cargas.,"Correto! Cargas de mesmo sinal geram repulsão, então o vetor em Q1 aponta se afastando de Q2.","Incorreto. Depende da posição geométrica das cargas, não do eixo vertical global.",2
D01,KNOW_FIELD,1,Como Vetor definiu o Campo Elétrico no planalto?,Como um fluido que cura feridas.,Como uma força mágica inexplicável.,Como a força elétrica por unidade de carga em um ponto do espaço.,Como a temperatura do ambiente.,Incorreto. O campo não é um fluido.,Incorreto. Ele segue regras matemáticas e físicas estritas.,Correto! O campo (E) é definido como a Força (F) dividida pela carga de teste (q0).,"Incorreto. É um fenômeno eletrostático, não termodinâmico.",2
D02,KNOW_FIELD,2,"Se o herói colocar uma carga de teste POSITIVA em um campo elétrico, para onde apontará a força sobre ela?",Sentido oposto ao do campo elétrico.,No mesmo sentido do vetor campo elétrico.,Perpendicular ao campo.,A carga ficará parada.,Incorreto. Isso ocorreria se a carga de teste fosse negativa.,Correto! A força F sobre uma carga positiva q0 tem sempre o exato mesmo sentido de E.,Incorreto. A força atua no mesmo eixo do campo.,Incorreto. A força irá acelerar a carga.,1
D03,KNOW_FIELD,2,Para onde as setas das linhas de campo elétrico apontam em torno de um Próton (carga positiva isolada)?,Em direção à própria carga.,Giram ao redor da carga.,Apontam radialmente para fora da carga.,Cruzam o centro da carga.,Incorreto. Isso descreve o campo de uma carga negativa.,Incorreto. Esse padrão é de campo magnético num fio.,Correto! O campo gerado por uma carga positiva sempre aponta para fora dela.,Incorreto. As linhas nascem na carga e vão para o exterior.,2
D04,KNOW_FIELD,2,"Se o herói enfrentar um Elétron (carga negativa isolada), as linhas de campo no chão apontarão para...",Fora da carga.,Dentro da carga (em direção a ela).,O Norte.,O infinito.,Incorreto. Apontar para fora é característica das cargas positivas.,"Correto! Para uma carga negativa, o campo elétrico aponta sempre na direção da própria carga.",Incorreto. O campo elétrico não se orienta pelo campo magnético da Terra.,Incorreto. As linhas vêm do infinito e terminam na carga negativa.,1
D05,KNOW_FIELD,3,O que acontece se duas linhas de campo elétrico se cruzarem no mapa do Vetor?,Haverá uma explosão de energia.,"A física local foi corrompida, pois linhas de campo nunca se cruzam.",O campo se anula no cruzamento.,A direção do campo dobra de valor.,Incorreto. O cruzamento é uma impossibilidade geométrica para o campo.,"Correto! Em qualquer ponto, o vetor campo elétrico tem uma única direção tangente à linha. Logo, elas não podem se cruzar.","Incorreto. A anulação ocorre em pontos onde E=0, sem cruzamento de linhas.","Incorreto. O módulo depende da densidade de linhas, mas elas não se cruzam.",1
D06,KNOW_FIELD,2,Como o herói pode saber visualmente onde o campo elétrico é mais forte usando o mapa das linhas de campo?,Onde as linhas estão mais próximas e agrupadas (densas).,Onde as linhas são mais grossas.,Onde as linhas estão muito separadas umas das outras.,Onde as linhas desaparecem.,"Correto! O espaçamento entre as linhas indica a intensidade de E. Quanto mais juntas, mais forte o campo.","Incorreto. A representação padrão foca no espaçamento, não na espessura da tinta.",Incorreto. Linhas distantes indicam um campo fraco.,Incorreto. O desaparecimento de linhas indica distâncias imensas ou E zero.,0
D07,KNOW_FIELD,2,"Nas placas paralelas que o herói viu, as linhas de campo eram retas e igualmente espaçadas. O que isso significa?",O campo elétrico é aleatório.,O campo elétrico é zero ali.,O campo elétrico é UNIFORME naquela região.,O campo inverte a cada segundo.,Incorreto. O padrão reto e espaçado indica ordem perfeita.,"Incorreto. Se E fosse zero, não haveria linhas representadas.","Correto! Linhas paralelas e com espaçamento constante indicam que E tem a mesma direção, sentido e módulo em toda a região.","Incorreto. Se invertesse, não seria um sistema eletrostático estável.",2
D08,KNOW_FIELD,3,Vetor diz que o campo elétrico E num ponto não depende da carga de teste q0 colocada lá. Por quê?,Porque o campo não tem força.,Porque q0 tem massa zero.,Porque o campo E depende apenas da CARGA FONTE que o cria.,Porque q0 destrói o campo.,Incorreto. O campo aplica força quando encontra uma carga.,Incorreto. A massa não afeta a existência do campo elétrico.,"Correto! O campo é uma propriedade do espaço modificada pela carga criadora, existindo mesmo sem uma carga de teste.",Incorreto. Uma carga de teste infinitesimal não destrói o campo original.,2
D09,KNOW_FIELD,2,Uma carga de teste NEGATIVA é atingida pelo Impulso de Campo. A força que ela sofre terá qual sentido?,O mesmo sentido do Campo Elétrico.,O sentido oposto ao vetor do Campo Elétrico.,Um ângulo de 90 graus com o Campo.,Sentido espiralado.,Incorreto. Esse seria o comportamento de uma carga positiva.,"Correto! Pela equação F = qE, se q é negativo, o vetor Força terá sentido contrário ao vetor Campo E.",Incorreto. A força atua no mesmo eixo do campo.,Incorreto. Forças em campos eletrostáticos não causam trajetórias espirais.,1
D10,KNOW_FIELD,1,O Campo Elétrico é uma grandeza de que tipo?,Escalar.,Temporal.,Termodinâmica.,Vetorial.,"Incorreto. Escalares possuem apenas valor numérico, como a massa ou potencial.",Incorreto. Não é uma medida de tempo.,Incorreto. Não se relaciona a transferência de calor.,"Correto! Como possui módulo, direção e sentido, o Campo Elétrico é uma grandeza vetorial.",3
E01,KNOW_POTENTIAL,1,"Sera explicou que, diferentemente do Campo, o Potencial Elétrico é qual tipo de grandeza?",Vetorial.,Escalar.,Magnética.,Fictícia.,Incorreto. Ele não possui direção e sentido.,Correto! O potencial elétrico é um número (escalar) que representa energia por unidade de carga.,"Incorreto. É um fenômeno elétrico, não magnético.",Incorreto. É uma grandeza real e fundamental na física.,1
E02,KNOW_POTENTIAL,2,"Se o herói andar exatamente sobre uma superfície equipotencial ideal no chão, o que acontece com a energia potencial dele?",Aumenta drasticamente.,Diminui até zero.,Permanece inalterada (constante).,Sobe e desce a cada passo.,Incorreto. O potencial teria que mudar para a energia aumentar.,"Incorreto. O potencial é igual em toda a linha, não vai a zero a menos que a linha seja de V=0.","Correto! Numa equipotencial, o valor do potencial V é o mesmo em todos os pontos, logo a energia não muda.","Incorreto. Se mudasse, não seria uma linha equipotencial.",2
E03,KNOW_POTENTIAL,2,Como a linha do campo elétrico se comporta ao cruzar uma superfície equipotencial?,Ela cruza num ângulo de 45 graus.,Ela é paralela à equipotencial.,Ela cruza perpendicularmente (90 graus) à superfície equipotencial.,Ela desvia e não cruza.,Incorreto. O cruzamento obedece a uma regra estrita de ângulo reto.,"Incorreto. Se fosse paralela, o campo realizaria trabalho sobre a superfície.",Correto! As linhas de campo formam sempre ângulos retos com as superfícies equipotenciais.,Incorreto. As linhas fluem continuamente pelo espaço e cruzam as superfícies.,2
E04,KNOW_POTENTIAL,3,Sera avisa: mover-se ao longo da equipotencial não consome energia. Qual é o trabalho realizado pela força elétrica nesse trajeto?,Trabalho máximo.,Trabalho negativo.,Trabalho positivo.,Trabalho nulo (Zero).,Incorreto. O trabalho alteraria a energia do sistema.,Incorreto. Isso significaria ganhar energia potencial.,Incorreto. Isso significaria perder energia potencial.,"Correto! Como não há variação de energia potencial (Va = Vb), a força do campo não realiza trabalho (W = 0).",3
E05,KNOW_POTENTIAL,2,"Se você se aproximar do Guardião (carga positiva), caminhando contra o sentido do campo elétrico, o que ocorre com o Potencial V?",Diminui.,Aumenta.,Fica negativo.,Anula-se.,"Incorreto. Ao se mover contra o campo de uma carga positiva, você vai para regiões de maior potencial.","Correto! O campo aponta para longe da carga (+), andar contra o campo é ir para o centro, onde V é maior.",Incorreto. Perto de cargas positivas o potencial é positivo.,Incorreto. V = 0 apenas no infinito.,1
E06,KNOW_POTENTIAL,2,"Se você se afastar de uma carga NEGATIVA (andando contra o sentido do campo elétrico que entra nela), o potencial...",Aumenta (fica menos negativo).,Diminui (fica mais negativo).,Fica igual a zero instantaneamente.,Começa a oscilar.,"Correto! Perto do (-) o potencial é muito negativo. Ao se afastar contra o E, ele sobe em direção a zero.",Incorreto. Você estaria se aproximando para que ele diminuísse mais.,Incorreto. Apenas no infinito ele atinge o zero de forma suave.,Incorreto. A mudança é contínua e previsível.,0
E07,KNOW_POTENTIAL,1,Qual a unidade de medida do Potencial Elétrico e da diferença de potencial?,Newton (N).,Joule (J).,Volt (V).,Ampere (A).,Incorreto. Newton é para força.,Incorreto. Joule é para energia e trabalho.,"Correto! O Potencial é medido em Volts, que equivale a Joules por Coulomb (J/C).",Incorreto. Ampere mede corrente elétrica.,2
E08,KNOW_POTENTIAL,3,"Se o interior de um escudo metálico condutor em repouso for analisado pela Sera, o que ela dirá sobre o campo e o potencial?",O campo é zero e o potencial é constante.,O campo é máximo e o potencial é zero.,Ambos oscilam loucamente.,O potencial anula o escudo.,"Correto! Num condutor eletrostático fechado, E=0 no interior e todo o volume é uma região equipotencial constante.","Incorreto. Se houvesse campo, as cargas fluiriam.",Incorreto. O equilíbrio eletrostático impede oscilações.,Incorreto. O potencial apenas dita o estado de energia.,0
E09,KNOW_POTENTIAL,2,A 'Voltagem' de um raio na Fronteira é outro nome para...,Força do raio.,Velocidade do raio.,Diferença de potencial entre a nuvem e o solo.,A massa dos elétrons.,Incorreto. A força seria em Newtons.,Incorreto. Voltagem não tem unidade de metros por segundo.,Correto! Voltagem é o termo prático para a Diferença de Potencial Elétrico (Vab) entre dois pontos.,Incorreto. A massa não depende da voltagem.,2
E10,KNOW_POTENTIAL,3,Uma carga de teste negativa (elétron) deixada livre no cenário de ruínas tende a 'cair' para onde?,Para o ponto de menor potencial.,Para o ponto de maior potencial elétrico.,Para o centro da Terra pela gravidade.,Para fora do mapa.,Incorreto. Isso é o que uma carga POSITIVA faria.,"Correto! Cargas negativas sofrem força no sentido oposto ao campo, movendo-se para locais de MAIOR potencial (menos negativos/mais positivos).",Incorreto. A força elétrica aqui é trilhões de vezes mais forte que a gravidade.,Incorreto. Ela seguirá a malha do campo elétrico gerado.,1
